root,source_region,receiver_region,source_n,receiver_n,source_country_count,receiver_country_count,source_branch_count,receiver_branch_count,deepest_A_s,deepest_D,deepest_call,source_receiver_reliability_score,display_class
A1b,north_africa,balkan,1158,2164,7,10,815,1433,0.5351201478743068,1.162258003773425,False,1.0,broad-root deferred
A1b,north_africa,caribbean,1158,221,7,14,815,193,5.239819004524887,-3.067472096480564,True,1.0,broad-root deferred
A1b,north_africa,central_africa,1158,91,7,5,815,67,12.725274725274724,-5.598234969891456,True,1.0,broad-root deferred
A1b,north_africa,central_asia,1158,357,7,6,815,258,3.2436974789915967,-2.8493924572301776,True,1.0,broad-root deferred
A1b,north_africa,east_africa,1158,76,7,3,815,48,15.236842105263158,-6.771161432887943,True,1.0,broad-root deferred
A1b,north_africa,east_asia,1158,2247,7,7,815,1580,0.5153538050734312,1.3783627670625758,False,1.0,broad-root deferred
A1b,north_africa,east_europe,1158,3648,7,10,815,2623,0.3174342105263157,2.608654594203272,False,1.0,broad-root deferred
A1b,north_africa,north_america,1158,2846,7,4,815,2219,0.4068868587491215,2.1952620715715043,False,1.0,broad-root deferred
A1b,north_africa,north_europe,1158,3637,7,7,815,2326,0.3183942810008248,2.3318912227101016,False,1.0,broad-root deferred
A1b,north_africa,northeast_africa,1158,343,7,6,815,230,3.376093294460641,-2.9563957511792345,True,1.0,broad-root deferred
A1b,north_africa,pacific_oceania,1158,131,7,6,815,122,8.83969465648855,-4.015037424599542,True,1.0,broad-root deferred
A1b,north_africa,south_america,1158,193,7,8,815,171,6.0,-3.431380231649963,True,1.0,broad-root deferred
A1b,north_africa,south_asia,1158,816,7,5,815,593,1.4191176470588236,-0.6760912454628089,True,1.0,broad-root deferred
A1b,north_africa,southeast_asia,1158,301,7,9,815,245,3.8471760797342194,-2.6189449219829415,True,1.0,broad-root deferred
A1b,north_africa,southern_africa,1158,39,7,6,815,36,29.692307692307693,-6.837978053720831,True,1.0,broad-root deferred
A1b,north_africa,west_africa,1158,351,7,13,815,234,3.299145299145299,-3.249111724484996,True,1.0,broad-root deferred
A1b,north_africa,west_asia,1158,15790,7,19,815,9377,0.0733375554148195,5.497910286031069,False,1.0,broad-root deferred
A1b,north_africa,west_europe,1158,9034,7,21,815,6332,0.1281824219614788,4.406140381973083,False,1.0,broad-root deferred
A1b,north_america,americas_indigenous_relevant,2846,345,4,11,2219,287,8.24927536231884,-4.606609783398472,True,1.0,broad-root deferred
A1b,north_america,balkan,2846,2164,4,10,2219,1433,1.3151571164510167,-1.0330040677980787,True,1.0,broad-root deferred
A1b,north_america,caribbean,2846,221,4,14,2219,193,12.877828054298645,-5.262734168052068,True,1.0,broad-root deferred
A1b,north_america,central_africa,2846,91,4,5,2219,67,31.274725274725277,-7.793497041462959,True,1.0,broad-root deferred
A1b,north_america,central_asia,2846,357,4,6,2219,258,7.971988795518207,-5.044654528801681,True,1.0,broad-root deferred
A1b,north_america,east_africa,2846,76,4,3,2219,48,37.44736842105263,-8.966423504459444,True,1.0,broad-root deferred
A1b,north_america,east_asia,2846,2247,4,7,2219,1580,1.2665776591010236,-0.816899304508928,True,1.0,broad-root deferred
A1b,north_america,east_europe,2846,3648,4,10,2219,2623,0.7801535087719298,0.4133925226317683,False,1.0,broad-root deferred
A1b,north_america,north_africa,2846,1158,4,7,2219,815,2.457685664939551,-2.1952620715715043,True,1.0,broad-root deferred
