"lineage_root","source_mask","receiver_mask","source_terminal_count","receiver_terminal_count","source_country_count","receiver_country_count","source_branch_count","receiver_branch_count","deepest_source_adequacy_A_s","deepest_diversity_contrast_D","deepest_source_receiver_call","source_receiver_reliability_score","atlas_reliability_state","figure_source_file"
"A1b","East Africa","Northern Europe","76","3637","3","7","48","2326","0.020896","9.103053","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Northeast Africa","76","343","3","6","48","230","0.221574","3.814766","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Pacific/Oceania","76","131","3","6","48","122","0.580153","2.756124","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","South America","76","193","3","8","48","171","0.393782","3.339781","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","South Asia","76","816","3","5","48","593","0.093137","6.095070","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Southeast Asia","76","301","3","9","48","245","0.252492","4.152217","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Southern Africa","76","39","3","6","48","36","1.948718","-0.066817","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","West Africa","76","351","3","13","48","234","0.216524","3.522050","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","West Asia","76","15790","3","19","48","9377","0.004813","12.269072","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Africa","Western Europe","76","9034","3","21","48","6332","0.008413","11.177302","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Americas Indigenous-relevant","2247","345","7","11","1580","287","6.513043","-3.789710","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Balkans","2247","2164","7","10","1580","1433","1.038355","-0.216105","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Caribbean","2247","221","7","14","1580","193","10.167421","-4.445835","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Central Africa","2247","91","7","5","1580","67","24.692308","-6.976598","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Central Asia","2247","357","7","6","1580","258","6.294118","-4.227755","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","East Africa","2247","76","7","3","1580","48","29.565789","-8.149524","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Eastern Europe","2247","3648","7","10","1580","2623","0.615954","1.230292","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","North Africa/Maghreb","2247","1158","7","7","1580","815","1.940415","-1.378363","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","North America","2247","2846","7","4","1580","2219","0.789529","0.816899","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Northern Europe","2247","3637","7","7","1580","2326","0.617817","0.953528","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Northeast Africa","2247","343","7","6","1580","230","6.551020","-4.334759","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Pacific/Oceania","2247","131","7","6","1580","122","17.152672","-5.393400","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","South America","2247","193","7","8","1580","171","11.642487","-4.809743","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","South Asia","2247","816","7","5","1580","593","2.753676","-2.054454","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Southeast Asia","2247","301","7","9","1580","245","7.465116","-3.997308","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Southern Africa","2247","39","7","6","1580","36","57.615385","-8.216341","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","West Africa","2247","351","7","13","1580","234","6.401709","-4.627474","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","West Asia","2247","15790","7","19","1580","9377","0.142305","4.119548","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","East Asia","Western Europe","2247","9034","7","21","1580","6332","0.248727","3.027778","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Americas Indigenous-relevant","3648","345","10","11","2623","287","10.573913","-5.020002","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Balkans","3648","2164","10","10","2623","1433","1.685767","-1.446397","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Caribbean","3648","221","10","14","2623","193","16.506787","-5.676127","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Central Africa","3648","91","10","5","2623","67","40.087912","-8.206890","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Central Asia","3648","357","10","6","2623","258","10.218487","-5.458047","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","East Africa","3648","76","10","3","2623","48","48.000000","-9.379816","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","East Asia","3648","2247","10","7","2623","1580","1.623498","-1.230292","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","North Africa/Maghreb","3648","1158","10","7","2623","815","3.150259","-2.608655","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","North America","3648","2846","10","4","2623","2219","1.281799","-0.413393","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Northern Europe","3648","3637","10","7","2623","2326","1.003024","-0.276763","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Northeast Africa","3648","343","10","6","2623","230","10.635569","-5.565050","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Pacific/Oceania","3648","131","10","6","2623","122","27.847328","-6.623692","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","South America","3648","193","10","8","2623","171","18.901554","-6.040035","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","South Asia","3648","816","10","5","2623","593","4.470588","-3.284746","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Southeast Asia","3648","301","10","9","2623","245","12.119601","-5.227600","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Southern Africa","3648","39","10","6","2623","36","93.538462","-9.446633","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","West Africa","3648","351","10","13","2623","234","10.393162","-5.857766","Compatible at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","West Asia","3648","15790","10","19","2623","9377","0.231032","2.889256","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
"A1b","Eastern Europe","Western Europe","3648","9034","10","21","2623","6332","0.403808","1.797486","Rejected at deepest layer","1.000000","Broad-root deferred","source_receiver_reliability_atlas.csv"
